ts,event,corr,source,symbol,interval,period,latency_ms,error
2025-09-29 14:21:12.320841+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,521,
2025-09-29 14:21:22.661977+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:30:00+09:00,2025-09-29 23:15:00+09:00,40,79.55370306994723
2025-09-29 14:21:22.698979+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:30:00+09:00,2025-09-29 23:15:00+09:00
2025-09-29 14:34:37.754103+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:34:38.240967+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,484,
2025-09-29 14:34:46.404600+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,40,82.47306728501498
2025-09-29 14:34:46.427602+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00
2025-09-29 14:34:46.437094+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,0 days 02:55:30
2025-09-29 14:37:52.118085+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:37:52.631788+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,491,
2025-09-29 14:39:56.755726+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:39:57.452423+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,646,
2025-09-29 14:40:10.721721+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,40,82.33105517198214
2025-09-29 14:40:10.764691+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00
2025-09-29 14:40:10.808719+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,0 days 02:55:30
2025-09-29 14:43:31.989633+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:43:32.870896+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:43:33.341038+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,466,
2025-09-29 14:43:39.603864+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,40,82.33136348003555
2025-09-29 14:43:39.623853+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00
2025-09-29 14:43:39.629849+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,0 days 02:55:30
2025-09-29 14:44:30.245259+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:44:38.718461+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,40,82.33136348003555
2025-09-29 14:44:38.770353+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00
2025-09-29 14:44:38.783408+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 13:45:00+09:00,2025-09-29 23:30:00+09:00,0 days 02:55:30
2025-09-29 14:45:42.101138+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:45:43.070983+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:45:43.542145+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,466,
2025-09-29 14:45:51.830716+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,40,81.44646187212356
2025-09-29 14:45:51.853707+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00
2025-09-29 14:45:51.859713+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,0 days 02:55:30
2025-09-29 14:48:50.150954+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:48:50.588189+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,431,
2025-09-29 14:48:51.144120+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:48:59.071843+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,40,80.97759823974903
2025-09-29 14:48:59.114842+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00
2025-09-29 14:48:59.132857+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,0 days 02:55:30
2025-09-29 14:50:39.119154+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:50:39.540519+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,414,
2025-09-29 14:50:40.275567+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 14:50:49.091454+00:00,pattern_draw,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,40,80.91866864303726
2025-09-29 14:50:49.108501+00:00,pattern_vrect,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00
2025-09-29 14:50:49.117485+00:00,pattern_auto_zoom,,,,,,,,flag_dn,2025-09-29 14:00:00+09:00,2025-09-29 23:45:00+09:00,0 days 02:55:30
2025-09-29 15:20:51.628920+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
2025-09-29 15:20:52.137757+00:00,price_fetch_success,corr-1759148283758,yfinance_history,JPY=X,15m,60d,500,
2025-09-29 15:20:53.835937+00:00,price_fetch_start,corr-1759148283758,,JPY=X,15m,60d,,
